# u[lambda]	v[lamda]	Re(V)[Jy]	Im(V)[Jy]	weight
3.771806e+05	-6.213286e+05	2.617886e-02	6.318470e-03	1.204692e+05
-5.014303e+05	-3.106828e+05	5.450378e-03	-2.458128e-04	1.041197e+05
1.229833e+06	-1.097198e+06	-3.820239e-03	-1.546284e-03	1.186172e+05
3.074161e+05	7.004235e+04	6.943470e-02	1.679647e-03	1.048205e+05
2.421581e+05	-4.386021e+05	1.832604e-03	-4.127288e-03	9.922594e+04
1.524512e+06	-8.027579e+05	-1.839761e-03	-1.277506e-03	1.412787e+05
4.605656e+05	-5.487946e+05	2.344230e-02	1.257058e-02	1.128693e+05
3.983610e+05	-6.413499e+05	1.969911e-02	9.810323e-03	1.245441e+05
5.757211e+05	-5.294974e+05	1.610482e-02	-4.546222e-03	1.263163e+05
4.087230e+05	-7.970679e+05	1.371544e-03	-7.377417e-03	1.148634e+05
5.255067e+05	-6.375092e+05	4.607841e-03	-1.942118e-03	1.143486e+05
9.046423e+05	-1.587763e+06	1.831591e-03	-1.117828e-03	1.099979e+05
2.097778e+05	-6.508977e+05	7.558258e-03	9.552787e-04	1.086222e+05
2.247963e+05	-5.170633e+05	-2.988147e-04	-1.693074e-02	9.604486e+04
2.349622e+05	-9.184560e+05	2.014134e-03	-8.566353e-04	1.166013e+05
1.059435e+06	-2.735305e+05	7.898563e-03	6.538781e-03	1.044823e+05
3.912230e+05	-4.880535e+04	6.626351e-02	1.270202e-02	1.046115e+05
2.387939e+05	-4.939928e+05	2.209904e-03	-5.348302e-03	1.074547e+05
-6.859720e+05	-8.237876e+05	1.126840e-02	-1.021757e-02	9.192750e+04
-1.096478e+05	-3.261040e+05	6.183503e-02	1.653698e-02	1.164025e+05
-1.037929e+05	-3.634410e+05	6.330272e-02	1.131046e-02	1.165692e+05
7.037595e+05	-1.072619e+06	2.248487e-03	4.876311e-03	1.438513e+05
-4.746944e+05	-3.515208e+05	3.552100e-03	-1.845338e-03	1.293040e+05
-1.920338e+05	-9.546112e+05	1.117901e-02	7.559020e-03	1.265599e+05
6.974037e+04	-4.712577e+05	1.979571e-02	3.148883e-03	1.250681e+05
7.604100e+05	-2.574258e+05	1.281376e-02	9.287679e-05	9.679820e+04
-8.763550e+04	-2.888179e+05	6.702379e-02	1.400341e-02	1.227843e+05
7.627318e+04	-3.836006e+05	4.751754e-02	2.919628e-03	1.210478e+05
-1.050699e+05	-4.817073e+05	1.440590e-02	1.058172e-02	1.202457e+05
-2.531426e+05	-5.094881e+05	1.703076e-02	3.301248e-03	1.235829e+05
3.956087e+05	-5.649972e+05	1.213065e-02	1.295212e-02	1.086968e+05
-1.760325e+03	-4.030763e+05	4.791646e-02	6.299790e-03	1.130954e+05
-2.672465e+04	-4.214061e+05	4.518779e-02	-2.628685e-04	1.172076e+05
1.901553e+05	-6.648833e+05	1.155239e-02	3.862448e-03	1.146432e+05
3.057269e+05	-4.193778e+05	-3.606298e-03	-4.318368e-03	1.114634e+05
-1.415885e+04	-4.424574e+05	3.687151e-02	2.558972e-03	1.164254e+05
-6.295805e+05	1.102937e+05	-9.876708e-03	-1.554452e-03	1.293135e+05
-3.773772e+05	-1.219121e+05	6.238890e-02	-5.562502e-05	1.311329e+05
5.350787e+04	-1.573894e+05	1.217640e-01	1.835323e-03	1.298765e+05
-3.109793e+04	-2.637753e+05	8.613674e-02	1.136673e-02	1.091766e+05
-1.411258e+05	-5.585263e+05	4.309776e-03	-1.476103e-03	1.226540e+05
3.516911e+04	-3.955801e+05	3.930496e-02	6.768264e-03	1.091818e+05
-4.669060e+05	-5.979024e+05	9.912442e-03	5.102471e-03	1.260992e+05
1.378481e+05	-4.640610e+05	2.444936e-03	1.218710e-03	1.283019e+05
-3.436663e+04	-4.021084e+05	5.154917e-02	1.315836e-02	1.231125e+05
-9.129753e+05	-9.145748e+04	1.412914e-02	3.464261e-03	1.061453e+05
8.182845e+05	-8.779824e+05	6.044917e-03	3.081820e-03	1.211150e+05
-1.041353e+05	2.892635e+05	6.886664e-02	-1.121483e-02	1.067544e+05
-1.693897e+05	-2.193814e+05	8.417879e-02	6.869142e-03	1.014252e+05
1.112960e+06	-5.835438e+05	-7.233976e-03	-1.065814e-03	1.442976e+05
4.901715e+04	-3.295758e+05	6.795266e-02	1.493381e-04	1.153990e+05
-1.318651e+04	-4.221305e+05	3.695127e-02	2.396069e-03	1.272640e+05
1.641721e+05	-3.102785e+05	5.476402e-02	2.147480e-03	1.290769e+05
-2.823196e+03	-5.778478e+05	-7.379490e-03	-2.014082e-03	1.175564e+05
1.139588e+05	-4.182898e+05	2.429265e-02	3.383124e-03	1.166606e+05
4.930986e+05	-1.368546e+06	1.000369e-02	6.018253e-03	1.122596e+05
-2.017688e+05	-4.316776e+05	3.197972e-02	1.252109e-02	1.111085e+05
-1.867512e+05	-2.978430e+05	7.355387e-02	8.075322e-04	9.797178e+04
-1.765826e+05	-6.992354e+05	6.016093e-03	4.556878e-03	1.190525e+05
6.478810e+05	-5.431565e+04	-3.704080e-04	-7.201548e-03	1.068137e+05
-1.524299e+05	-4.451864e+05	3.095021e-02	1.152569e-02	9.255450e+04
-1.077200e+06	-7.749845e+05	1.314177e-02	5.050329e-03	7.937326e+04
-5.008726e+05	-2.772991e+05	1.155650e-02	2.398254e-03	9.985984e+04
-4.950183e+05	-3.146367e+05	1.364993e-02	-2.822410e-03	1.007009e+05
3.125351e+05	-1.023811e+06	1.123551e-02	1.225540e-02	1.240165e+05
-8.659197e+05	-3.027164e+05	2.344930e-02	6.061778e-03	1.114516e+05
-5.832594e+05	-9.058048e+05	2.147147e-03	-5.828134e-04	1.094239e+05
-3.214842e+05	-4.224521e+05	3.302039e-02	2.230649e-03	1.079234e+05
3.691858e+05	-2.086211e+05	3.782232e-02	2.174332e-02	8.345011e+04
