# u[lambda]	v[lamda]	Re(V)[Jy]	Im(V)[Jy]	weight
-4.776015e+05	-1.487235e+05	5.331954e-02	9.434802e-03	1.023498e+05
-2.891756e+05	2.543472e+04	8.006851e-02	-8.509983e-03	9.303671e+04
-8.257943e+05	-1.908067e+05	1.863429e-02	-4.333755e-04	1.019105e+05
-1.794322e+05	-4.775750e+04	1.470350e-01	4.275135e-04	1.080882e+05
-3.634947e+05	1.845795e+04	8.226562e-02	-6.849946e-03	1.082279e+05
-1.302574e+06	3.504588e+05	7.415025e-03	3.706187e-03	6.603038e+04
5.478259e+05	-4.901607e+05	2.747981e-02	-7.515007e-04	9.623701e+04
-4.380643e+05	7.574017e+05	1.371092e-02	-1.563690e-03	8.430780e+04
-5.078083e+05	2.137580e+05	6.248929e-03	-2.362878e-03	8.297969e+04
8.627769e+05	-1.754621e+05	2.150448e-02	7.164393e-03	1.242588e+05
-2.743726e+05	9.598078e+04	8.580113e-02	-2.958621e-03	1.002887e+05
-3.408554e+05	-2.941328e+03	7.897451e-02	-2.823612e-03	1.138715e+05
-1.512947e+05	1.166064e+05	1.233095e-01	-1.226729e-02	1.118018e+05
-3.297815e+05	-1.693740e+05	7.686711e-02	-2.550528e-03	1.035736e+05
-2.049636e+05	1.162619e+03	1.206214e-01	-7.883632e-03	1.018672e+05
2.002691e+05	-1.014480e+06	1.879795e-03	6.905827e-04	1.266493e+05
-5.424141e+05	-1.314579e+04	9.918723e-03	1.034052e-02	8.996372e+04
-5.263639e+05	1.298970e+05	-5.750579e-03	-1.840845e-03	8.478764e+04
-5.154971e+05	-2.991145e+05	1.222847e-02	2.856375e-03	1.015017e+05
3.656914e+05	3.901772e+05	3.879238e-02	2.289930e-03	1.091201e+05
-6.577707e+05	5.907837e+05	7.066931e-03	-2.922377e-03	1.356451e+05
-3.882092e+05	3.426009e+05	3.809321e-03	-4.186159e-03	1.067512e+05
7.232254e+04	3.046827e+05	7.699893e-02	-8.860056e-04	1.155792e+05
-1.810568e+04	1.909766e+05	1.249347e-01	-3.277521e-03	9.656011e+04
-1.357058e+05	-1.240558e+05	1.342713e-01	7.018516e-03	1.044151e+05
5.272088e+04	5.010297e+04	2.422741e-01	-9.363934e-03	9.507581e+04
-4.839004e+05	-1.661405e+05	4.215504e-02	-2.354492e-03	1.047057e+05
1.624641e+05	-2.308930e+04	1.456203e-01	5.318554e-03	1.108511e+05
-2.159922e+04	4.312526e+04	2.650441e-01	-1.088197e-03	1.105533e+05
-9.606726e+05	3.751311e+05	-6.194688e-03	-1.231593e-02	6.690013e+04
8.897226e+05	-4.654914e+05	5.183518e-03	-1.210563e-02	9.797056e+04
-9.616827e+04	7.820685e+05	1.663106e-02	-1.468103e-02	8.547516e+04
-1.659127e+05	2.384251e+05	8.556160e-02	-1.670073e-02	8.508422e+04
1.204674e+06	-1.507927e+05	1.402779e-02	3.235465e-04	1.272240e+05
6.752364e+04	1.206487e+05	1.735633e-01	-8.881064e-03	1.030156e+05
1.039407e+03	2.172550e+04	2.887288e-01	-4.284611e-03	1.165242e+05
1.906007e+05	1.412736e+05	1.193254e-01	-8.575076e-03	1.145870e+05
1.211414e+04	-1.447063e+05	1.599138e-01	1.693171e-02	1.063303e+05
1.369328e+05	2.583079e+04	1.832082e-01	2.312189e-03	1.035865e+05
5.421636e+05	-9.898118e+05	3.282563e-03	6.105845e-03	1.287957e+05
-2.005185e+05	1.152162e+04	1.330971e-01	-9.432815e-03	9.239202e+04
-1.844677e+05	1.545647e+05	8.685136e-02	-1.332244e-03	8.627758e+04
-1.736014e+05	-2.744466e+05	8.642987e-02	9.438145e-03	1.037063e+05
7.075878e+05	4.148449e+05	-1.116188e-03	7.036567e-03	1.124062e+05
2.695608e+05	-2.481797e+05	6.528714e-02	3.336688e-03	1.349293e+05
7.300909e+05	-2.861022e+05	1.258669e-02	4.994573e-03	1.461845e+05
6.396641e+05	-3.998081e+05	1.607958e-02	6.884727e-03	1.218101e+05
5.220664e+05	-7.148387e+05	2.522095e-03	-3.431224e-03	1.324097e+05
7.104908e+05	-5.406802e+05	1.640491e-02	-2.677182e-05	1.204480e+05
1.738742e+05	-7.569237e+05	2.106699e-02	2.561542e-03	1.322699e+05
8.202341e+05	-6.138733e+05	1.292468e-02	6.587511e-03	1.401549e+05
6.361715e+05	-5.476591e+05	1.259726e-02	3.357368e-03	1.401010e+05
-3.029020e+05	-2.156371e+05	8.289427e-02	-3.582206e-03	8.511166e+04
1.547492e+06	-1.056279e+06	-1.192997e-03	-6.244070e-04	1.243794e+05
5.615976e+05	1.912837e+05	9.979573e-03	2.848040e-03	1.087819e+05
4.918574e+05	-3.523585e+05	-5.388002e-03	1.609160e-03	1.075950e+05
1.862439e+06	-7.415818e+05	-5.846328e-03	1.704484e-03	1.610038e+05
7.252932e+05	-4.701352e+05	9.562039e-03	-3.722400e-03	1.301356e+05
6.588104e+05	-5.690600e+05	-2.779577e-03	7.280665e-03	1.475294e+05
8.483697e+05	-4.495125e+05	-3.830285e-03	-8.298719e-05	1.449448e+05
6.698859e+05	-7.354902e+05	9.674169e-03	6.486359e-03	1.343689e+05
7.947026e+05	-5.649531e+05	9.734159e-03	2.151528e-03	1.315977e+05
1.199939e+06	-1.580599e+06	1.197482e-03	5.013310e-03	1.636288e+05
4.572531e+05	-5.792613e+05	1.191842e-02	1.235679e-02	1.167303e+05
4.733027e+05	-4.362177e+05	2.136041e-03	-4.370032e-03	1.095646e+05
4.841720e+05	-8.652289e+05	4.662275e-03	3.779220e-03	1.313958e+05
1.365352e+06	-1.759441e+05	9.466743e-04	-3.673950e-03	1.417889e+05
4.605328e+05	-3.791853e+04	4.753178e-02	1.565521e-03	1.150044e+05
3.701041e+05	-1.516249e+05	5.996256e-02	5.164621e-03	9.610652e+04
2.525028e+05	-4.666569e+05	-5.415077e-03	4.316851e-03	1.038684e+05
4.409302e+05	-2.924973e+05	5.546699e-03	-1.730018e-03	9.458867e+04
-9.569217e+04	-5.087435e+05	-1.416993e-03	4.616540e-03	1.041966e+05
5.506734e+05	-3.656895e+05	3.295483e-03	-2.325035e-03	1.103064e+05
3.666102e+05	-2.994761e+05	7.749526e-03	1.553124e-03	1.099803e+05
-5.724657e+05	3.253464e+04	-1.369378e-02	-7.589199e-04	6.653870e+04
1.277932e+06	-8.080900e+05	9.460765e-03	7.819640e-03	9.744693e+04
2.920431e+05	4.394665e+05	2.905613e-02	5.812991e-03	8.499225e+04
2.222970e+05	-1.041765e+05	9.795019e-02	4.442696e-03	8.466293e+04
1.592886e+06	-4.933908e+05	2.578241e-03	-2.815857e-03	1.265867e+05
4.557333e+05	-2.219519e+05	4.538141e-04	8.794034e-03	1.025184e+05
3.892489e+05	-3.208764e+05	7.662935e-03	-6.617593e-03	1.159302e+05
5.788109e+05	-2.013277e+05	-3.900147e-03	-1.090427e-02	1.140148e+05
4.003230e+05	-4.873072e+05	-2.924163e-03	-4.001700e-03	1.058121e+05
5.251423e+05	-3.167695e+05	-8.778158e-03	5.100104e-03	1.030240e+05
9.303713e+05	-1.332412e+06	1.222302e-03	-2.486098e-03	1.280938e+05
1.876904e+05	-3.310798e+05	6.377504e-02	6.996955e-03	9.194420e+04
2.037415e+05	-1.880363e+05	7.498458e-02	-5.987281e-04	8.581300e+04
2.146066e+05	-6.170475e+05	1.992086e-03	-6.216903e-03	1.031738e+05
1.095800e+06	7.224436e+04	-2.586762e-03	-1.103228e-03	1.118778e+05
-9.042768e+04	-1.137059e+05	1.829231e-01	7.583525e-03	1.040057e+05
-2.080281e+05	-4.287384e+05	4.627716e-02	5.993821e-03	1.125278e+05
-1.960248e+04	-2.545799e+05	9.338354e-02	1.115731e-02	1.024516e+05
-5.562206e+05	-4.708224e+05	-4.399151e-03	-1.886066e-03	1.127969e+05
9.014096e+04	-3.277722e+05	7.479025e-02	1.292128e-02	1.194260e+05
-9.392122e+04	-2.615573e+05	9.387183e-02	5.999623e-03	1.191353e+05
-1.033003e+06	7.044838e+04	1.857133e-02	1.881056e-03	7.211768e+04
8.173990e+05	-7.701753e+05	1.533817e-02	1.017536e-02	1.055947e+05
-1.684908e+05	4.773861e+05	2.669902e-03	-8.047430e-04	9.215266e+04
-2.382348e+05	-6.625725e+04	1.153757e-01	-7.749153e-03	9.166837e+04
1.132350e+06	-4.554769e+05	6.559456e-03	1.205097e-02	1.370784e+05
-4.799344e+03	-1.840341e+05	1.216361e-01	7.854917e-03	1.109745e+05
-7.128184e+04	-2.829570e+05	8.456353e-02	1.783393e-02	1.255581e+05
1.182787e+05	-1.634091e+05	1.017667e-01	3.805512e-03	1.234585e+05
-6.020810e+04	-4.493890e+05	4.734979e-02	1.223248e-02	1.145494e+05
6.460963e+04	-2.788521e+05	8.052485e-02	4.186519e-03	1.116560e+05
4.698426e+05	-1.294495e+06	2.388229e-03	1.274888e-02	1.388306e+05
-2.728407e+05	-2.931608e+05	7.377485e-02	3.659758e-03	9.953171e+04
-2.567906e+05	-1.501178e+05	9.061852e-02	7.194575e-03	9.299472e+04
-2.459238e+05	-5.791291e+05	-5.249503e-03	-8.014084e-03	1.117532e+05
6.352648e+05	1.101615e+05	-3.801670e-03	-4.479019e-03	1.210730e+05
-1.175997e+05	-3.150322e+05	7.545777e-02	4.539725e-03	9.371877e+04
7.082604e+04	-1.408737e+05	1.324642e-01	7.227547e-03	8.541250e+04
-4.657928e+05	-3.571164e+05	1.302004e-02	-4.650212e-03	9.433948e+04
1.805694e+05	-2.140662e+05	7.948751e-02	1.668395e-02	9.977423e+04
-3.493323e+03	-1.478514e+05	1.481759e-01	7.641137e-03	9.929850e+04
-9.425700e+05	1.841563e+05	9.504906e-03	2.778461e-04	5.980947e+04
9.078275e+05	-6.564695e+05	5.750930e-03	5.792064e-03	8.783266e+04
-7.806374e+04	5.910920e+05	7.684753e-04	7.536375e-03	7.646595e+04
-1.478070e+05	4.744876e+04	1.526407e-01	1.370932e-03	7.657646e+04
1.222778e+06	-3.417713e+05	-5.188410e-03	1.754163e-03	1.144093e+05
8.562886e+04	-7.032805e+04	1.903091e-01	6.777296e-03	9.280038e+04
1.914567e+04	-1.692512e+05	1.387496e-01	8.203384e-03	1.047629e+05
2.087062e+05	-4.970339e+04	1.116900e-01	8.334189e-03	1.031069e+05
3.022018e+04	-3.356829e+05	7.290167e-02	1.677807e-02	9.575873e+04
1.550380e+05	-1.651461e+05	9.730220e-02	1.149429e-02	9.281269e+04
5.602710e+05	-1.180789e+06	6.096630e-04	-1.602704e-03	1.154080e+05
-1.824125e+05	-1.794547e+05	1.028060e-01	2.827808e-03	8.322258e+04
-1.663623e+05	-3.641162e+04	1.451465e-01	-1.642385e-02	7.733264e+04
-1.554950e+05	-4.654229e+05	2.304235e-02	1.859464e-03	9.315682e+04
7.256917e+05	2.238670e+05	-2.141567e-03	6.724258e-03	1.014165e+05
1.884271e+05	1.741590e+05	1.061130e-01	1.207040e-02	9.275586e+04
-3.481956e+05	-4.208524e+04	8.232350e-02	-6.820562e-03	1.017833e+05
2.981702e+05	1.009667e+05	8.170464e-02	6.119636e-03	1.078906e+05
1.141063e+05	1.671809e+05	1.391637e-01	-1.070490e-02	1.078839e+05
-8.249618e+05	4.991888e+05	7.464894e-03	7.373514e-03	6.565075e+04
1.025429e+06	-3.414352e+05	1.777330e-02	9.596844e-03	9.582374e+04
3.953710e+04	9.061240e+05	7.491156e-03	1.550917e-03	8.382793e+04
-3.020715e+04	3.624808e+05	6.912248e-02	-6.691966e-03	8.282138e+04
1.340381e+06	-2.673635e+04	8.988137e-03	1.863438e-03	1.239629e+05
2.032296e+05	2.447046e+05	8.521622e-02	-1.183550e-02	1.001585e+05
1.367444e+05	1.457810e+05	1.241853e-01	-1.344569e-02	1.135754e+05
3.263060e+05	2.653292e+05	7.572209e-02	-8.407843e-03	1.115711e+05
1.478199e+05	-2.065046e+04	1.732686e-01	4.189634e-03	1.034187e+05
2.726389e+05	1.498868e+05	8.983919e-02	-1.016627e-03	1.013910e+05
6.778689e+05	-8.657559e+05	9.640180e-03	1.488614e-03	1.260581e+05
-6.481283e+04	1.355773e+05	1.539256e-01	-1.198643e-02	8.984063e+04
-4.876171e+04	2.786206e+05	8.347583e-02	-5.448367e-03	8.441078e+04
-3.789548e+04	-1.503907e+05	1.657710e-01	9.039634e-03	1.011886e+05
8.432933e+05	5.389005e+05	2.029148e-02	1.643650e-03	1.090801e+05
-5.366218e+05	-2.162440e+05	2.744765e-02	-3.754797e-04	9.271457e+04
1.097433e+05	-7.319210e+04	1.711614e-01	1.153988e-02	9.824118e+04
-7.431991e+04	-6.977673e+03	2.432872e-01	-7.415988e-03	9.815016e+04
-1.013396e+06	3.250259e+05	1.643606e-02	-4.017575e-03	5.962778e+04
8.370020e+05	-5.155933e+05	6.509678e-03	7.959344e-04	8.711559e+04
-1.488875e+05	7.319655e+05	2.354973e-02	-8.039889e-03	7.614160e+04
-2.186332e+05	1.883220e+05	8.556883e-02	-5.716519e-04	7.541013e+04
1.151955e+06	-2.008941e+05	2.278441e-03	1.169990e-02	1.128360e+05
1.480303e+04	7.054581e+04	2.403165e-01	-5.022668e-03	9.123142e+04
-5.168110e+04	-2.837733e+04	2.684055e-01	-9.794646e-03	1.033668e+05
1.378806e+05	9.117101e+04	1.626331e-01	4.012857e-04	1.015771e+05
-4.060698e+04	-1.948092e+05	1.232620e-01	1.028464e-02	9.418980e+04
8.421205e+04	-2.427204e+04	2.237619e-01	9.899950e-03	9.215473e+04
4.894417e+05	-1.039914e+06	1.443215e-02	-2.409362e-03	1.145756e+05
-2.532396e+05	-3.858160e+04	9.726475e-02	-3.819528e-03	8.182956e+04
-2.371886e+05	1.044614e+05	9.366891e-02	-2.116441e-02	7.673226e+04
-2.263232e+05	-3.245499e+05	8.468498e-02	2.498780e-03	9.206457e+04
6.548691e+05	3.647430e+05	-1.116375e-02	-1.897641e-03	9.941746e+04
6.463647e+05	1.430512e+05	-1.373003e-02	-2.476071e-03	1.081897e+05
4.623002e+05	2.092653e+05	4.313164e-02	-9.405501e-03	1.078035e+05
-4.767598e+05	5.412824e+05	2.855186e-02	8.403797e-03	6.507972e+04
1.373623e+06	-2.993528e+05	4.162304e-03	-7.069602e-03	9.545013e+04
3.877274e+05	9.482081e+05	-6.851755e-03	-3.466632e-03	8.320358e+04
3.179864e+05	4.045656e+05	3.900174e-02	-4.561264e-03	8.304131e+04
1.688572e+06	1.534487e+04	2.444610e-03	1.419246e-03	1.241201e+05
5.514235e+05	2.867892e+05	5.509958e-03	1.397753e-03	1.005812e+05
4.849379e+05	1.878647e+05	4.485837e-02	-4.520485e-03	1.136777e+05
6.744984e+05	3.074125e+05	-2.342359e-03	1.873873e-03	1.118273e+05
4.960150e+05	2.143417e+04	3.466167e-02	-8.624683e-03	1.038058e+05
6.208333e+05	1.919713e+05	-3.988435e-03	-4.175049e-03	1.008975e+05
1.026066e+06	-8.236733e+05	4.436382e-03	-1.131451e-02	1.254607e+05
2.833821e+05	1.776626e+05	8.556870e-02	-1.424014e-03	9.020590e+04
2.994329e+05	3.207061e+05	7.345639e-02	-3.208393e-03	8.405114e+04
3.103012e+05	-1.083051e+05	6.548856e-02	1.233692e-02	1.011265e+05
1.191482e+06	5.809821e+05	1.285206e-02	4.152876e-03	1.098309e+05
-1.840631e+05	6.621474e+04	1.168468e-01	-7.128837e-03	1.142322e+05
-1.123139e+06	3.982169e+05	2.775840e-02	1.547281e-03	6.913387e+04
7.272586e+05	-4.424016e+05	8.643134e-03	-1.887433e-03	1.012320e+05
-2.586312e+05	8.051581e+05	1.161702e-02	-1.100380e-02	8.831800e+04
-3.283765e+05	2.615145e+05	4.022890e-02	-5.344770e-03	8.791609e+04
1.042211e+06	-1.277026e+05	3.489388e-03	-9.356232e-04	1.314599e+05
-9.494028e+04	1.437380e+05	1.318647e-01	-1.325494e-02	1.064455e+05
-1.614243e+05	4.481523e+04	1.369976e-01	-5.945007e-03	1.204009e+05
2.813722e+04	1.643634e+05	1.413846e-01	-5.142154e-03	1.184001e+05
-1.503501e+05	-1.216169e+05	1.423087e-01	7.640881e-03	1.098698e+05
-2.553123e+04	4.892007e+04	2.558334e-01	-2.896269e-03	1.070342e+05
3.796990e+05	-9.667219e+05	9.064632e-03	-2.418113e-03	1.330810e+05
-3.629827e+05	3.461080e+04	7.205190e-02	-8.975516e-03	9.546774e+04
-3.469318e+05	1.776537e+05	5.878156e-02	-1.981484e-03	8.914926e+04
-3.360661e+05	-2.513576e+05	6.939680e-02	8.242639e-03	1.071590e+05
5.451252e+05	4.379352e+05	-7.482076e-03	3.249899e-03	1.161468e+05
-9.390735e+05	3.320073e+05	1.181901e-02	7.232186e-04	6.935682e+04
9.113215e+05	-5.086177e+05	1.557386e-02	3.849587e-03	1.013324e+05
-7.457016e+04	7.389433e+05	1.714253e-02	-4.521028e-03	8.859212e+04
-1.443136e+05	1.953000e+05	9.722283e-02	-8.325106e-03	8.768880e+04
1.226272e+06	-1.939193e+05	9.504721e-03	1.015032e-03	1.312131e+05
8.912258e+04	7.752336e+04	2.184413e-01	-1.596620e-03	1.060739e+05
2.263869e+04	-2.139982e+04	2.660168e-01	4.274958e-03	1.202132e+05
2.121995e+05	9.814807e+04	1.158706e-01	9.653377e-03	1.181213e+05
3.371359e+04	-1.878316e+05	1.242445e-01	9.839035e-03	1.095178e+05
1.585318e+05	-1.729461e+04	1.509535e-01	-5.318506e-03	1.072016e+05
5.637639e+05	-1.032938e+06	4.388915e-03	8.436676e-03	1.332872e+05
-1.789191e+05	-3.160342e+04	1.425820e-01	-4.489995e-03	9.514458e+04
-1.628686e+05	1.114397e+05	1.280541e-01	-1.417733e-02	8.925800e+04
-1.520016e+05	-3.175716e+05	7.024757e-02	1.064190e-02	1.070702e+05
7.291855e+05	3.717187e+05	1.398278e-02	6.280129e-03	1.155808e+05
1.850401e+06	-8.406065e+05	-1.607825e-02	-3.749766e-03	6.181389e+04
8.645201e+05	4.069336e+05	1.632932e-02	5.949707e-03	5.424323e+04
7.947621e+05	-1.367097e+05	1.381962e-02	7.804496e-03	5.306656e+04
2.165365e+06	-5.259029e+05	8.558514e-03	3.958693e-03	7.955329e+04
1.028200e+06	-2.544810e+05	9.641507e-05	2.190910e-06	6.408285e+04
9.617114e+05	-3.534082e+05	3.078361e-03	-8.535321e-03	7.288573e+04
1.151279e+06	-2.338565e+05	1.545025e-02	6.666440e-03	7.150522e+04
9.727835e+05	-5.198373e+05	1.076446e-02	1.303369e-03	6.619528e+04
1.097608e+06	-3.492972e+05	3.516152e-03	4.664326e-04	6.546042e+04
1.502822e+06	-1.364935e+06	2.966369e-03	2.594553e-03	8.136003e+04
7.601511e+05	-3.636130e+05	6.721536e-03	8.675252e-03	5.748691e+04
7.762057e+05	-2.205688e+05	9.400921e-03	5.385881e-03	5.446618e+04
7.870623e+05	-6.495796e+05	1.157492e-02	2.436436e-03	6.505925e+04
1.668282e+06	3.972285e+04	4.571894e-03	3.087404e-03	6.958514e+04
-9.858886e+05	1.247562e+06	4.010820e-04	7.195858e-03	7.889597e+04
-1.055635e+06	7.039173e+05	-6.939997e-05	1.426409e-02	7.771243e+04
3.149531e+05	3.146996e+05	6.862014e-02	9.873665e-04	1.163650e+05
-8.221987e+05	5.861400e+05	6.820748e-03	-1.365437e-02	9.393602e+04
-8.886824e+05	4.872193e+05	1.628663e-02	-1.251356e-03	1.066254e+05
-6.991207e+05	6.067673e+05	3.096302e-03	-2.383307e-03	1.046998e+05
-8.776088e+05	3.207853e+05	9.905142e-03	-6.544617e-03	9.700746e+04
-7.527898e+05	4.913217e+05	1.557381e-02	3.815928e-03	9.535228e+04
-3.475600e+05	-5.243186e+05	-7.519566e-03	-3.274630e-03	1.185452e+05
-1.090241e+06	4.770130e+05	1.303522e-02	-8.885862e-03	8.426307e+04
-1.074190e+06	6.200553e+05	-3.720095e-03	-5.452363e-03	7.936894e+04
-1.063325e+06	1.910437e+05	2.938907e-03	1.133841e-04	9.504062e+04
-1.821320e+05	8.803396e+05	6.540145e-03	3.584988e-03	1.022207e+05
-6.974364e+04	-5.436431e+05	-6.166187e-04	1.075455e-02	6.780867e+04
1.300839e+06	-9.328640e+05	1.184018e-02	1.208151e-03	1.016068e+05
1.636910e+05	-6.614199e+05	1.141352e-02	1.245868e-02	8.188659e+04
9.721035e+04	-7.603433e+05	1.881562e-02	6.570862e-03	9.313823e+04
2.867702e+05	-6.407956e+05	6.275487e-03	9.859398e-03	9.138018e+04
1.082830e+05	-9.267748e+05	3.763855e-03	1.206500e-02	8.459004e+04
2.330998e+05	-7.562380e+05	2.034389e-02	1.554170e-03	8.355373e+04
6.383350e+05	-1.771882e+06	-6.268268e-03	-3.455183e-03	1.038779e+05
-1.043495e+05	-7.705464e+05	3.064923e-02	6.909925e-03	7.346295e+04
-8.830018e+04	-6.275033e+05	-5.331334e-03	2.225791e-03	6.952369e+04
-7.743278e+04	-1.056515e+06	6.421004e-03	-1.539604e-03	8.307687e+04
8.037552e+05	-3.672256e+05	3.754616e-03	6.099353e-03	8.898387e+04
1.370586e+06	-3.892190e+05	7.870334e-03	3.776322e-03	1.009046e+05
2.334360e+05	-1.177765e+05	9.450073e-02	1.400869e-02	8.169935e+04
1.669525e+05	-2.167001e+05	8.019336e-02	1.484587e-02	9.242220e+04
3.565133e+05	-9.715211e+04	7.002362e-02	1.746233e-02	9.088234e+04
1.780271e+05	-3.831314e+05	4.488698e-02	1.528670e-03	8.432931e+04
3.028451e+05	-2.125944e+05	5.848749e-02	5.981094e-03	8.216937e+04
7.080774e+05	-1.228238e+06	8.364873e-03	9.173401e-03	1.021677e+05
-3.460560e+04	-2.269034e+05	1.192483e-01	3.964773e-03	7.327471e+04
-1.855520e+04	-8.386014e+04	2.266390e-01	1.126524e-02	6.843834e+04
-7.688290e+03	-5.128714e+05	4.497971e-04	-5.570556e-03	8.225613e+04
8.734993e+05	1.764185e+05	1.044015e-02	2.822989e-03	8.914325e+04
-1.137151e+06	2.714411e+05	1.331186e-02	-5.381224e-03	1.221267e+05
-1.203632e+06	1.725214e+05	1.114284e-02	-8.691884e-04	1.382465e+05
-1.014071e+06	2.920691e+05	1.114601e-02	-2.284633e-03	1.359041e+05
-1.192560e+06	6.086574e+03	1.767595e-02	1.786354e-03	1.260700e+05
-1.067742e+06	1.766226e+05	4.635955e-03	-1.072258e-02	1.230631e+05
-6.625107e+05	-8.390173e+05	-4.464342e-03	9.040583e-03	1.530072e+05
-1.405193e+06	1.623144e+05	2.240403e-04	-3.369982e-03	1.095359e+05
-1.389143e+06	3.053564e+05	6.201274e-03	-5.796864e-03	1.024849e+05
-1.378278e+06	-1.236553e+05	1.222795e-02	-3.019020e-03	1.230833e+05
-4.970822e+05	5.656413e+05	2.361317e-02	-6.483758e-03	1.331767e+05
-6.648360e+04	-9.892302e+04	1.996494e-01	6.324707e-03	1.118431e+05
1.230777e+05	2.062511e+04	1.857654e-01	-5.785797e-03	1.100186e+05
-5.540953e+04	-2.653550e+05	8.703524e-02	1.652107e-02	1.021256e+05
6.940902e+04	-9.481792e+04	1.842646e-01	1.062096e-02	9.929809e+04
4.746399e+05	-1.110460e+06	9.263249e-03	-2.827502e-04	1.234657e+05
-2.680421e+05	-1.091271e+05	1.017970e-01	2.206081e-03	8.874496e+04
-2.519915e+05	3.391590e+04	1.036636e-01	-1.107714e-02	8.271712e+04
-2.411255e+05	-3.950954e+05	4.920942e-02	-3.434262e-03	9.950909e+04
6.400652e+05	2.941966e+05	-2.429340e-03	8.130044e-03	1.080350e+05
1.895603e+05	1.195476e+05	1.225247e-01	-1.067570e-02	1.244867e+05
1.107526e+04	-1.664318e+05	1.403824e-01	4.465969e-03	1.154607e+05
1.358929e+05	4.104928e+03	1.782526e-01	8.803071e-04	1.127742e+05
5.411266e+05	-1.011539e+06	7.236954e-03	2.415917e-03	1.402214e+05
-2.015575e+05	-1.020334e+04	1.285405e-01	-1.739441e-03	1.003156e+05
-1.855073e+05	1.328397e+05	1.060581e-01	-8.673089e-03	9.391212e+04
-1.746394e+05	-2.961716e+05	8.765281e-02	-1.922314e-03	1.127561e+05
7.065447e+05	3.931175e+05	9.440024e-03	-1.083098e-02	1.219498e+05
-1.784861e+05	-2.859799e+05	7.667350e-02	5.393957e-03	1.135644e+05
-5.366860e+04	-1.154433e+05	1.879215e-01	1.495337e-02	1.107121e+05
3.515652e+05	-1.131086e+06	2.192001e-03	1.041676e-03	1.376587e+05
-3.911187e+05	-1.297515e+05	7.477848e-02	2.239341e-04	9.867527e+04
-3.750687e+05	1.329138e+04	6.430068e-02	-8.564508e-03	9.220793e+04
-3.642013e+05	-4.157200e+05	1.793876e-02	3.867315e-03	1.107999e+05
5.169851e+05	2.735702e+05	1.860511e-02	2.701574e-03	1.200269e+05
1.248188e+05	1.705370e+05	1.241221e-01	-6.632861e-03	1.025540e+05
5.300494e+05	-8.451055e+05	1.084355e-02	8.781755e-03	1.275146e+05
-2.126327e+05	1.562279e+05	7.627061e-02	-2.184663e-03	9.159157e+04
-1.965818e+05	2.992710e+05	6.850894e-02	-6.300766e-03	8.542469e+04
-1.857153e+05	-1.297403e+05	1.277199e-01	-2.077756e-03	1.027368e+05
6.954730e+05	5.595511e+05	1.561880e-02	-3.878768e-03	1.114785e+05
4.052303e+05	-1.015642e+06	9.694779e-03	2.490848e-03	1.254904e+05
-3.374514e+05	-1.430930e+04	7.896522e-02	-5.787506e-03	8.907576e+04
-3.214006e+05	1.287337e+05	7.876412e-02	-2.550421e-03	8.401004e+04
-3.105349e+05	-3.002777e+05	5.743868e-02	1.842619e-04	1.005405e+05
5.706566e+05	3.890150e+05	-1.081835e-02	-5.772787e-03	1.080148e+05
-7.426823e+05	1.001334e+06	-3.505863e-03	7.803651e-03	1.107559e+05
-7.266309e+05	1.144376e+06	2.418552e-03	-1.651548e-03	1.044449e+05
-7.157637e+05	7.153648e+05	1.425427e-02	-6.710937e-04	1.250014e+05
1.654207e+05	1.404657e+06	8.101572e-03	6.073159e-03	1.343140e+05
1.605087e+04	1.430433e+05	1.607230e-01	-1.042742e-02	7.420054e+04
2.691742e+04	-2.859680e+05	8.195343e-02	9.033933e-03	8.925473e+04
9.081055e+05	4.033225e+05	1.498336e-02	-2.122891e-03	9.688453e+04
1.086592e+04	-4.290112e+05	3.932032e-02	-4.420074e-03	8.371380e+04
8.920565e+05	2.602801e+05	1.100031e-02	-1.520780e-03	9.000022e+04
8.811892e+05	6.892917e+05	4.243972e-03	7.409218e-03	1.084303e+05
-1.723499e+05	2.220087e+05	7.284605e-02	-1.111278e-03	1.915256e+05
2.395516e+05	3.847863e+03	9.256028e-02	-2.983550e-03	1.773803e+05
6.317156e+05	-4.395267e+04	-8.830407e-03	-1.154704e-03	1.543296e+05
4.771796e+05	-4.895373e+05	1.406302e-02	-8.428995e-03	1.502341e+05
-4.510276e+05	-8.217284e+05	9.747938e-03	-1.881591e-04	1.412902e+05
1.284562e+05	-3.225456e+05	6.812926e-02	9.202914e-04	1.649326e+05
1.341904e+05	-3.598688e+05	5.029852e-02	1.128106e-02	1.620894e+05
9.412637e+05	-1.066982e+06	2.677656e-03	7.467801e-03	1.735948e+05
-2.375468e+05	-3.489030e+05	5.732308e-02	9.472756e-03	1.733825e+05
4.357646e+04	-9.512763e+05	8.829324e-03	-1.906717e-03	1.581061e+05
3.077619e+05	-4.672390e+05	-2.266718e-03	9.208188e-03	1.758301e+05
1.001246e+06	-2.516259e+05	4.868754e-03	1.382389e-03	1.548715e+05
1.506407e+05	-2.852016e+05	6.973497e-02	2.797468e-03	1.727003e+05
3.146326e+05	-3.795642e+05	2.112085e-03	-4.105704e-03	1.735142e+05
1.324919e+05	-4.781387e+05	5.659642e-03	3.151264e-03	1.722861e+05
